image_file,cosine_similarity
0000.jpg,0.8653816897346844
0001.jpg,0.7425843150152349
0002.jpg,0.8297384246333384
0003.jpg,0.6044416105918233
0004.jpg,0.8234296658254305
0005.jpg,0.9032100641619807
0006.jpg,0.7058015231756154
0007.jpg,0.910925707466941
0008.jpg,0.8938511585913643
0009.jpg,0.9094366848824789
0010.jpg,0.6744750602253524
0011.jpg,0.8396541384058285
0012.jpg,0.8669738747741558
0013.jpg,0.7889112291410052
0014.jpg,0.6866360833304244
0015.jpg,0.6778320939167279
0016.jpg,0.8760812001116767
0017.jpg,0.5535141625042209
0018.jpg,0.992567456600293
0019.jpg,0.7632257707374415
0020.jpg,0.8360025511212785
0021.jpg,0.9608608221385818
0022.jpg,0.874535938714153
0023.jpg,0.8189933376255183
0024.jpg,0.820380627669517
0025.jpg,0.44703609556667123
0026.jpg,0.4899520482450319
0027.jpg,0.6156410546377229
0028.jpg,0.8121337734844911
0029.jpg,0.8546373716490424
0030.jpg,0.9725133418183511
0031.jpg,0.9298332355167764
0032.jpg,0.8655598114223075
0033.jpg,0.8281466814493161
0034.jpg,0.6789981978922446
0035.jpg,0.7404151096573495
0036.jpg,0.8969856766496715
0037.jpg,0.8913438490261498
0038.jpg,0.8192529086818865
0039.jpg,0.950329726838353
0040.jpg,0.7666455661306713
0041.jpg,0.879443372894885
0042.jpg,0.6768066637988719
0043.jpg,0.8350281688958484
0044.jpg,0.652829432514074
0045.jpg,0.9331729285214148
0046.jpg,0.6524688675171584
0047.jpg,0.9332218367694841
0048.jpg,0.9174240295696501
0049.jpg,0.925095798152968
0050.jpg,0.8385976604788973
0051.jpg,0.6848580283838324
0052.jpg,0.8767087418138801
0053.jpg,0.655018575495343
0054.jpg,0.8392498975922393
0055.jpg,0.7440208002559412
0056.jpg,0.7991808075411997
0057.jpg,0.829715069401808
0058.jpg,0.6847893378707955
0059.jpg,0.855475154527829
0060.jpg,0.6361741420973166
0061.jpg,0.8051940542918541
0062.jpg,0.40278491121294485
0063.jpg,0.8439665429908594
0064.jpg,0.9711976214049923
0065.jpg,0.8864717081102342
0066.jpg,0.8568344827283275
0067.jpg,0.9951533478562562
0068.jpg,0.6062854135223559
0069.jpg,0.6375817997956876
0070.jpg,0.7631358717492599
0071.jpg,0.6293640624661562
0072.jpg,0.9300810704121538
0073.jpg,0.6689801677389626
0074.jpg,0.9379357333471985
0075.jpg,0.6806921252422011
0076.jpg,0.544676693837276
0077.jpg,0.9441180933844465
0078.jpg,0.8744563353756216
0079.jpg,0.8598215059823108
0080.jpg,0.585998637936789
0081.jpg,0.7842693508944276
0082.jpg,0.9475404396898752
0083.jpg,0.8978136304363961
0084.jpg,0.7828832779599127
0085.jpg,0.8549483218886892
0086.jpg,0.9468540271882047
0087.jpg,0.9472533704796202
0088.jpg,0.9033684455206641
0089.jpg,0.9037138689417066
0090.jpg,0.746682356171612
0091.jpg,0.8483876377687479
0092.jpg,0.7496368187911291
0093.jpg,0.7588303062791648
0094.jpg,0.7717051510318634
0095.jpg,0.8329954832722084
0096.jpg,0.8468775000506056
0097.jpg,0.5002162934973349
0098.jpg,0.9294472671606786
0099.jpg,0.873738721949965
